date,advancers,decliners,unchanged,breadth_member_count,pct_above_ma20,pct_above_ma50,new_highs_252,new_lows_252,up_volume,down_volume,net_advancers,advance_decline_ratio,market_breadth,advancing_share,declining_share,new_high_low_spread,up_down_volume_ratio
2013-12-30,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2013-12-31,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-02,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-03,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-06,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-07,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-08,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-09,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-10,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-13,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-14,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-15,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-16,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-17,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-20,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-21,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-22,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-23,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-24,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-01-27,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-02-06,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-02-07,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-02-10,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-02-11,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-02-12,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-03-21,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-03-24,1,0,0,1,,,0.0,0.0,100.0,0.0,1,,1.0,1.0,0.0,0.0,
2014-03-25,1,0,0,1,,,0.0,0.0,100.0,0.0,1,,1.0,1.0,0.0,0.0,
2014-03-26,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-03-27,1,0,0,1,,,0.0,0.0,100.0,0.0,1,,1.0,1.0,0.0,0.0,
2014-03-28,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-03-31,0,1,0,1,,,0.0,0.0,0.0,1600.0,-1,0.0,-1.0,0.0,1.0,0.0,0.0
2014-04-01,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-02,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-03,1,0,0,1,,,0.0,0.0,100.0,0.0,1,,1.0,1.0,0.0,0.0,
2014-04-04,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-07,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-08,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-10,0,1,0,1,,,0.0,0.0,0.0,100.0,-1,0.0,-1.0,0.0,1.0,0.0,0.0
2014-04-11,0,1,0,1,,,0.0,0.0,0.0,600.0,-1,0.0,-1.0,0.0,1.0,0.0,0.0
2014-04-14,1,0,0,1,,,0.0,0.0,1100.0,0.0,1,,1.0,1.0,0.0,0.0,
2014-04-15,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-16,0,0,1,1,,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-17,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-18,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-21,0,1,0,1,0.0,,0.0,0.0,0.0,100.0,-1,0.0,-1.0,0.0,1.0,0.0,0.0
2014-04-22,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-23,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-24,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-25,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2014-04-28,0,0,1,1,0.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
