time,open,high,low,close,volume,ticker
2021-03-03,15.84,16.63,15.67,16.46,10388400,HBC
2021-03-04,16.59,16.68,15.36,15.54,8285000,HBC
2021-03-05,15.54,15.97,15.27,15.76,6015400,HBC
2021-03-08,16.02,16.55,15.84,16.19,11852300,HBC
2021-03-09,16.02,16.9,15.8,16.5,12542300,HBC
2021-03-10,16.68,16.81,16.33,16.41,6929600,HBC
2021-03-11,16.76,16.94,16.46,16.55,7452500,HBC
2021-03-12,16.46,16.63,16.06,16.15,8552800,HBC
2021-03-15,16.15,16.33,15.93,16.11,7296300,HBC
2021-03-16,16.06,16.28,15.84,15.89,5256600,HBC
2021-03-17,15.97,16.19,15.84,15.97,3972800,HBC
2021-03-18,16.24,16.33,15.97,16.06,5474300,HBC
2021-03-19,15.93,16.24,15.93,15.97,4570800,HBC
2021-03-22,16.02,16.33,15.89,16.11,5814100,HBC
2021-03-23,16.24,16.72,16.11,16.28,8297800,HBC
2021-03-24,16.19,16.59,15.93,15.97,7352000,HBC
2021-03-25,16.06,16.28,15.71,15.71,4670800,HBC
2021-03-26,15.54,15.8,14.61,15.18,9008300,HBC
2021-03-29,15.23,15.62,15.18,15.49,4024900,HBC
2021-03-30,15.54,15.62,15.4,15.54,3631700,HBC
2021-03-31,15.54,16.06,15.54,15.58,5261800,HBC
2021-04-01,15.76,15.97,15.71,15.89,3769300,HBC
2021-04-02,16.15,16.19,15.89,15.97,3786800,HBC
2021-04-05,16.15,16.37,15.89,15.89,5818000,HBC
2021-04-06,15.89,16.19,15.8,15.8,4357600,HBC
2021-04-07,16.19,16.9,15.97,16.9,16673900,HBC
2021-04-08,17.16,17.29,16.68,16.68,6237900,HBC
2021-04-09,16.76,17.03,16.68,16.68,4941200,HBC
2021-04-12,16.72,17.07,16.5,16.85,8944800,HBC
2021-04-13,16.85,16.98,16.15,16.15,8590600,HBC
2021-04-14,16.06,16.24,15.71,16.24,5885900,HBC
2021-04-15,16.33,16.33,15.71,15.76,7389400,HBC
2021-04-16,15.71,15.97,15.01,15.18,6847700,HBC
2021-04-19,15.62,15.71,15.14,15.49,4324200,HBC
2021-04-20,15.54,15.62,15.18,15.18,4448100,HBC
2021-04-22,15.1,15.32,14.13,14.13,5976600,HBC
2021-04-23,14.13,14.66,14.04,14.66,4528800,HBC
2021-04-26,14.66,14.66,13.78,13.78,4199700,HBC
2021-04-27,13.78,13.87,13.39,13.69,3178500,HBC
2021-04-28,13.69,14.09,13.6,13.91,2869200,HBC
2021-04-29,14.04,14.39,13.91,13.96,2341000,HBC
2021-05-04,13.43,13.6,13.12,13.25,5463000,HBC
2021-05-05,13.43,13.91,13.43,13.74,4279700,HBC
2021-05-06,14.04,14.39,13.91,14.0,4359600,HBC
2021-05-07,13.91,14.0,13.34,13.43,4637800,HBC
2021-05-10,13.21,13.39,12.81,12.95,6853600,HBC
2021-05-11,12.99,13.82,12.99,13.82,5359400,HBC
2021-05-12,14.0,14.26,13.82,14.04,4450000,HBC
2021-05-13,14.04,14.13,13.52,13.52,4769600,HBC
2021-05-14,13.52,13.87,13.52,13.6,3924100,HBC
2021-05-17,13.6,13.87,13.3,13.3,3560700,HBC
2021-05-18,13.34,13.43,12.99,13.03,2910600,HBC
2021-05-19,12.99,13.12,12.64,12.64,6892500,HBC
2021-05-20,12.73,13.25,12.73,12.86,4336400,HBC
2021-05-21,12.9,13.52,12.9,12.95,4479200,HBC
2021-05-24,13.17,13.69,13.12,13.39,6051600,HBC
2021-05-25,13.52,13.56,13.17,13.17,3452000,HBC
2021-05-26,13.17,13.25,12.95,12.95,4007600,HBC
2021-05-27,12.95,13.03,12.55,12.55,4693600,HBC
2021-05-28,12.64,12.9,12.55,12.64,4401800,HBC
2021-05-31,12.64,12.81,12.2,12.2,5607300,HBC
2021-06-01,12.38,13.03,12.29,13.03,5522600,HBC
2021-06-02,13.34,13.34,12.86,12.9,4323000,HBC
2021-06-03,13.17,13.34,12.9,13.25,6011900,HBC
2021-06-04,13.25,13.56,13.12,13.34,6755300,HBC
2021-06-07,13.43,14.04,13.43,13.69,8622500,HBC
2021-06-08,13.78,14.0,13.34,13.34,5827900,HBC
2021-06-09,13.25,13.43,12.81,13.08,4363700,HBC
2021-06-10,13.08,13.3,12.9,12.99,3390400,HBC
2021-06-11,13.17,13.6,12.99,13.47,5992300,HBC
2021-06-14,13.52,13.78,13.34,13.34,4841200,HBC
2021-06-15,13.34,14.0,13.34,13.78,6983200,HBC
2021-06-16,13.78,14.22,13.78,13.96,7935700,HBC
2021-06-17,13.82,14.48,13.69,14.39,7593800,HBC
2021-06-18,14.48,14.48,14.22,14.31,5648400,HBC
2021-06-21,14.31,14.35,13.87,13.87,5783000,HBC
2021-06-22,14.13,14.22,13.96,14.04,6017400,HBC
2021-06-23,14.04,14.7,14.04,14.35,8509500,HBC
2021-06-24,14.39,14.39,14.0,14.13,3906500,HBC
2021-06-25,14.13,14.18,13.82,13.91,3367900,HBC
2021-06-28,13.96,14.04,13.52,13.74,6680200,HBC
2021-06-29,13.78,14.0,13.6,13.74,4626100,HBC
2021-06-30,13.74,13.87,13.52,13.56,3075000,HBC
2021-07-01,13.56,13.69,13.34,13.39,4481400,HBC
2021-07-02,13.39,13.47,13.25,13.25,4240200,HBC
2021-07-05,13.34,13.34,12.9,12.95,4602400,HBC
2021-07-06,13.17,13.17,12.55,12.55,3510400,HBC
2021-07-07,12.64,12.64,12.11,12.29,4469400,HBC
2021-07-08,12.46,12.64,12.29,12.29,2028800,HBC
2021-07-09,12.29,12.46,11.81,11.81,3506000,HBC
2021-07-12,11.59,11.63,11.02,11.02,6048600,HBC
2021-07-13,11.1,11.23,10.8,11.1,3440200,HBC
2021-07-14,11.15,11.54,11.06,11.19,3383200,HBC
2021-07-15,11.23,11.89,11.19,11.72,3303600,HBC
2021-07-16,11.72,11.81,11.54,11.54,2030800,HBC
2021-07-19,11.23,11.32,10.75,10.93,3802600,HBC
2021-07-20,10.88,11.06,10.66,11.02,2583700,HBC
2021-07-21,11.06,11.32,11.02,11.06,1700200,HBC
2021-07-22,11.06,11.59,11.06,11.45,3192400,HBC
2021-07-23,11.5,11.67,11.19,11.19,3510400,HBC
2021-07-26,11.06,11.32,11.02,11.23,1896100,HBC
2021-07-27,11.41,11.59,11.28,11.32,2946000,HBC
2021-07-28,11.28,11.54,11.23,11.32,2116300,HBC
2021-07-29,11.45,11.76,11.45,11.63,3262600,HBC
2021-07-30,11.85,12.07,11.81,11.85,3778800,HBC
2021-08-02,11.85,11.94,11.67,11.67,2923900,HBC
2021-08-03,11.76,11.81,11.54,11.59,2759600,HBC
2021-08-04,11.67,11.94,11.59,11.89,3672900,HBC
2021-08-05,11.89,12.46,11.76,12.38,5612700,HBC
2021-08-06,12.38,12.81,12.38,12.51,7262000,HBC
2021-08-09,12.46,12.73,12.33,12.55,3796900,HBC
2021-08-10,12.81,12.81,12.46,12.55,5198800,HBC
2021-08-11,12.55,12.73,12.38,12.38,4401500,HBC
2021-08-12,12.29,13.21,12.24,13.21,11714000,HBC
2021-08-13,13.52,13.82,13.21,13.69,11059100,HBC
2021-08-16,14.04,14.13,13.78,13.82,7733800,HBC
2021-08-17,13.82,13.82,13.25,13.34,7546700,HBC
2021-08-18,13.25,13.6,13.21,13.3,5225200,HBC
2021-08-19,13.39,13.78,13.25,13.65,5091400,HBC
2021-08-20,13.52,13.82,12.73,12.9,9221500,HBC
2021-08-23,12.81,12.99,12.11,12.11,6773600,HBC
2021-08-24,12.11,12.38,12.02,12.07,4834500,HBC
2021-08-25,12.2,12.38,12.07,12.33,2761200,HBC
2021-08-26,12.46,12.73,12.24,12.29,3141100,HBC
2021-08-27,12.24,12.73,12.2,12.73,3820600,HBC
2021-08-30,12.99,13.34,12.9,13.21,5941800,HBC
2021-08-31,13.3,13.3,12.9,12.95,5264400,HBC
2021-09-01,12.95,13.34,12.9,13.34,5142400,HBC
2021-09-06,13.52,14.26,13.52,14.26,13073600,HBC
2021-09-07,14.39,14.48,13.47,13.65,9377900,HBC
2021-09-08,13.65,13.74,13.34,13.47,5190400,HBC
2021-09-09,13.47,13.82,13.43,13.74,3866600,HBC
2021-09-10,13.74,14.22,13.56,13.56,5919400,HBC
2021-09-13,13.52,13.65,13.12,13.12,5764800,HBC
2021-09-14,12.99,13.25,12.9,12.9,4268600,HBC
2021-09-15,12.9,13.43,12.77,13.39,4048200,HBC
2021-09-16,13.52,13.65,13.3,13.3,3176900,HBC
2021-09-17,13.43,13.69,13.3,13.39,4666600,HBC
2021-09-20,13.6,13.74,13.34,13.39,5899900,HBC
2021-09-21,13.17,13.34,13.03,13.17,4365500,HBC
2021-09-22,13.17,14.04,13.17,14.04,11116600,HBC
2021-09-23,14.22,14.22,13.65,13.65,6635700,HBC
2021-09-24,13.69,14.39,13.56,13.87,9963000,HBC
2021-09-27,13.87,14.39,13.74,13.78,9232300,HBC
2021-09-28,13.78,14.04,13.69,13.78,6331000,HBC
2021-09-29,14.15,14.7,13.87,14.65,10285900,HBC
2021-09-30,14.65,14.7,14.42,14.47,4601900,HBC
2021-10-01,14.33,14.88,14.33,14.56,7446200,HBC
2021-10-04,14.56,15.11,14.38,14.84,8526800,HBC
2021-10-05,14.84,15.02,14.75,14.75,4338900,HBC
2021-10-06,14.84,15.48,14.75,15.34,11243300,HBC
2021-10-07,15.48,15.58,15.16,15.21,7164000,HBC
2021-10-08,15.3,15.58,15.07,15.07,6523900,HBC
2021-10-11,15.16,15.3,14.79,15.07,9291400,HBC
2021-10-12,15.11,15.39,15.02,15.07,5963800,HBC
2021-10-13,15.21,15.44,15.11,15.16,6172700,HBC
2021-10-14,15.3,15.44,15.16,15.25,5781900,HBC
2021-10-15,15.3,15.34,14.75,14.84,8939100,HBC
2021-10-18,14.84,14.98,14.38,14.38,11088600,HBC
2021-10-19,14.42,14.7,14.38,14.56,4523400,HBC
2021-10-20,14.65,14.93,14.47,14.65,4040400,HBC
2021-10-21,14.79,14.84,14.52,14.56,3685500,HBC
2021-10-22,14.75,15.58,14.7,15.58,17475700,HBC
2021-10-25,15.67,16.36,15.67,16.08,12930000,HBC
2021-10-26,15.9,16.22,15.67,16.04,6104000,HBC
2021-10-27,16.13,16.73,16.04,16.45,11248100,HBC
2021-10-28,16.45,16.63,16.22,16.31,6910800,HBC
2021-10-29,16.59,17.42,16.54,17.42,15660500,HBC
2021-11-01,17.93,18.62,17.79,18.62,13455700,HBC
2021-11-02,18.62,19.72,18.62,19.35,9960900,HBC
2021-11-03,19.26,19.35,18.02,18.02,22029700,HBC
2021-11-04,18.02,19.26,17.51,19.26,13291400,HBC
2021-11-05,20.0,20.6,19.86,20.18,9377600,HBC
2021-11-08,20.14,21.1,19.81,20.28,12137500,HBC
2021-11-09,20.18,20.87,20.0,20.41,9297900,HBC
2021-11-10,20.55,21.84,20.55,21.84,9457800,HBC
2021-11-11,22.49,22.76,21.2,21.93,15321600,HBC
2021-11-12,21.93,22.07,21.38,21.8,8600800,HBC
2021-11-15,21.61,22.76,21.29,21.66,13703200,HBC
2021-11-16,21.38,23.13,21.1,23.13,18088200,HBC
2021-11-17,23.22,23.82,22.76,23.78,6464800,HBC
2021-11-18,23.5,24.42,23.32,23.96,8935000,HBC
2021-11-19,23.69,24.33,22.3,22.44,19571700,HBC
2021-11-22,22.49,22.99,20.87,20.87,12882700,HBC
2021-11-23,20.55,22.3,20.55,22.3,8884100,HBC
2021-11-24,23.69,23.82,23.04,23.64,10510400,HBC
2021-11-25,23.64,24.56,23.18,23.59,10666900,HBC
2021-11-26,23.5,24.15,22.76,23.18,9348900,HBC
2021-11-29,22.3,24.33,22.3,23.96,12893000,HBC
2021-11-30,24.05,25.3,24.05,24.84,11511600,HBC
2021-12-01,24.84,25.07,24.19,24.79,6601300,HBC
2021-12-02,24.56,25.11,23.59,23.59,9599100,HBC
2021-12-03,23.64,23.96,22.12,22.12,12346800,HBC
2021-12-06,22.12,22.86,21.01,21.29,8514000,HBC
2021-12-07,21.8,22.76,21.29,22.76,6255100,HBC
2021-12-08,22.86,23.5,22.81,23.13,4788500,HBC
2021-12-09,22.58,23.87,22.58,23.69,6629900,HBC
2021-12-10,23.59,24.24,23.32,23.36,7458500,HBC
2021-12-13,23.73,24.98,23.55,24.98,13453700,HBC
2021-12-14,24.98,26.27,24.7,25.07,8905400,HBC
2021-12-15,24.88,25.3,23.82,24.01,10483400,HBC
2021-12-16,23.96,24.88,23.69,24.88,9689900,HBC
2021-12-17,25.16,25.71,24.19,24.42,10734800,HBC
2021-12-20,24.38,24.42,23.36,23.5,9358900,HBC
2021-12-21,23.22,24.28,23.22,23.92,5790100,HBC
2021-12-22,23.96,24.84,23.87,24.19,8152400,HBC
2021-12-23,24.33,25.85,24.01,25.85,22765100,HBC
2021-12-24,26.73,26.96,25.8,26.17,9934300,HBC
2021-12-27,26.36,26.63,25.34,26.45,7622900,HBC
2021-12-28,26.5,28.29,26.5,27.74,16161700,HBC
2021-12-29,28.02,29.21,27.92,28.29,6971300,HBC
2021-12-30,28.29,28.57,27.37,27.6,8356100,HBC
2021-12-31,27.74,28.94,27.28,27.88,7301500,HBC
2022-01-04,28.57,29.81,28.11,29.81,6863600,HBC
2022-01-05,30.87,31.89,30.32,30.32,15707900,HBC
2022-01-06,30.04,31.75,29.77,31.15,7881300,HBC
2022-01-07,30.87,31.8,30.6,31.8,8015800,HBC
2022-01-10,31.33,32.49,29.58,29.58,14170700,HBC
2022-01-11,29.31,31.2,28.39,29.81,12930500,HBC
2022-01-12,28.75,30.37,27.74,28.57,17065500,HBC
2022-01-13,29.49,29.68,26.59,26.59,13129800,HBC
2022-01-14,25.67,28.43,25.62,28.43,11050200,HBC
2022-01-17,28.75,29.03,26.45,26.45,9419500,HBC
2022-01-18,25.85,28.11,25.34,27.0,9226400,HBC
2022-01-19,27.65,28.06,27.05,27.19,5859200,HBC
2022-01-20,27.19,29.08,27.19,29.08,7830300,HBC
2022-01-21,29.49,30.27,28.94,29.03,7413000,HBC
2022-01-24,28.39,28.85,27.0,27.0,8636000,HBC
2022-01-25,26.36,28.75,26.27,28.66,7433900,HBC
2022-01-26,29.49,29.49,27.65,27.65,5827600,HBC
2022-01-27,27.46,28.02,26.91,27.14,4260900,HBC
2022-01-28,27.19,27.56,25.25,25.25,14728200,HBC
2022-02-07,25.62,26.13,24.05,25.25,6786500,HBC
2022-02-08,25.25,25.34,23.5,23.5,17731500,HBC
2022-02-09,23.13,25.11,23.04,24.42,8959100,HBC
2022-02-10,24.79,25.07,24.15,24.65,3182800,HBC
2022-02-11,24.33,24.42,24.01,24.05,4777600,HBC
2022-02-14,23.5,24.74,23.5,24.05,6186300,HBC
2022-02-15,24.05,24.38,23.73,24.19,3363700,HBC
2022-02-16,24.38,25.3,24.33,24.93,6124900,HBC
2022-02-17,24.93,25.44,24.65,24.7,5596100,HBC
2022-02-18,24.51,25.21,24.42,25.07,4855400,HBC
2022-02-21,25.16,26.63,25.07,26.63,10557400,HBC
2022-02-22,26.04,26.63,25.62,25.99,9030200,HBC
2022-02-23,26.17,27.14,26.08,26.5,5675700,HBC
2022-02-24,26.36,26.73,24.65,25.16,11679800,HBC
2022-02-25,25.62,25.99,25.3,25.53,5067800,HBC
2022-02-28,25.34,25.57,24.98,25.02,5150300,HBC
2022-03-01,24.93,25.85,24.93,25.53,4735100,HBC
2022-03-02,25.44,25.71,24.74,24.84,5450100,HBC
2022-03-03,25.07,25.16,24.24,24.65,6811300,HBC
2022-03-04,24.84,26.17,24.79,25.71,7687200,HBC
2022-03-07,25.3,25.71,24.98,25.25,4648100,HBC
2022-03-08,24.88,25.3,24.42,24.61,5718400,HBC
2022-03-09,24.61,24.79,23.92,23.96,6220800,HBC
2022-03-10,24.7,24.7,23.96,23.96,4536400,HBC
2022-03-11,23.96,24.79,23.96,24.1,4743800,HBC
2022-03-14,24.05,24.79,23.04,24.42,4689300,HBC
2022-03-15,24.42,26.13,24.28,25.99,11722200,HBC
2022-03-16,26.27,26.27,25.39,25.44,4764100,HBC
2022-03-17,25.62,26.04,25.53,25.57,3560200,HBC
2022-03-18,25.57,26.08,25.39,25.44,6100300,HBC
2022-03-21,25.39,26.27,25.39,25.9,5669800,HBC
2022-03-22,25.94,27.1,25.9,26.36,10587800,HBC
2022-03-23,26.63,26.91,26.27,26.4,6361300,HBC
2022-03-24,26.27,27.6,26.27,27.19,8321600,HBC
2022-03-25,27.37,27.37,26.54,26.63,5185000,HBC
2022-03-28,26.17,26.45,24.98,25.57,7633300,HBC
2022-03-29,25.71,26.5,25.34,26.04,4765700,HBC
2022-03-30,25.8,26.54,24.98,25.07,5477600,HBC
2022-03-31,25.34,25.53,24.88,24.88,2936600,HBC
2022-04-01,24.7,25.53,24.51,25.53,4009300,HBC
2022-04-04,25.71,26.08,25.34,25.71,3906200,HBC
2022-04-05,25.71,26.82,25.71,26.54,7805100,HBC
2022-04-06,26.27,27.14,25.85,26.08,6068600,HBC
2022-04-07,26.13,26.31,25.16,25.16,3319800,HBC
2022-04-08,25.34,25.76,24.88,25.07,4727500,HBC
2022-04-12,25.53,25.76,23.96,23.96,4295600,HBC
2022-04-13,24.42,24.61,23.04,24.51,4941400,HBC
2022-04-14,24.79,24.79,24.1,24.1,2837200,HBC
2022-04-15,24.1,24.38,23.04,23.04,6346300,HBC
2022-04-18,23.04,23.04,21.43,21.43,9840300,HBC
2022-04-19,21.24,21.7,19.95,19.95,7374900,HBC
2022-04-20,19.45,19.77,18.57,18.57,7206800,HBC
2022-04-21,17.6,18.52,17.28,17.28,8171800,HBC
2022-04-22,17.79,18.43,16.22,17.69,4904100,HBC
2022-04-25,18.43,18.43,16.59,16.63,5092800,HBC
2022-04-26,16.68,17.79,16.4,17.79,6731400,HBC
2022-04-27,18.34,19.03,18.11,19.03,3566700,HBC
2022-04-28,19.58,20.32,19.35,19.54,9376500,HBC
2022-04-29,19.26,20.0,19.08,19.91,5192800,HBC
2022-05-04,19.77,21.29,19.45,21.01,5853500,HBC
2022-05-05,21.01,21.15,19.58,20.04,6270700,HBC
2022-05-06,19.08,20.14,19.08,19.22,3461000,HBC
2022-05-09,18.62,18.89,17.88,17.88,4906100,HBC
2022-05-10,16.87,18.98,16.87,18.98,4551700,HBC
2022-05-11,19.22,19.58,18.8,19.49,2598300,HBC
2022-05-12,18.98,19.26,18.16,18.16,3178000,HBC
2022-05-13,18.11,18.16,16.91,16.91,4578300,HBC
2022-05-16,17.51,17.88,16.59,16.59,2842300,HBC
2022-05-17,16.63,17.74,16.59,17.74,3680700,HBC
2022-05-18,18.52,18.94,18.25,18.52,4984800,HBC
2022-05-19,18.43,19.26,18.06,19.22,4301900,HBC
2022-05-20,19.35,19.81,18.94,19.08,4687000,HBC
2022-05-23,19.31,19.49,18.02,18.25,4056900,HBC
2022-05-24,18.34,19.49,17.79,19.49,5289600,HBC
2022-05-25,20.09,20.64,19.81,20.04,6019200,HBC
2022-05-26,19.95,20.64,19.86,19.91,4413800,HBC
2022-05-27,19.81,20.51,19.68,20.09,4768300,HBC
2022-05-30,20.18,20.83,19.86,20.14,4529900,HBC
2022-05-31,20.0,21.06,19.86,20.41,7374500,HBC
2022-06-01,20.55,20.69,19.91,20.23,3545000,HBC
2022-06-02,20.46,21.1,20.18,21.01,7109000,HBC
2022-06-03,20.92,21.93,20.74,21.43,6882000,HBC
2022-06-06,21.43,21.8,19.95,19.95,7033600,HBC
2022-06-07,19.54,19.95,18.62,19.26,8819600,HBC
2022-06-08,19.63,20.23,19.35,20.04,4367000,HBC
2022-06-09,19.91,20.41,19.91,20.09,2472600,HBC
2022-06-10,19.81,20.04,18.89,18.89,5806400,HBC
2022-06-13,17.97,18.57,17.6,17.6,6539900,HBC
2022-06-14,17.51,17.97,17.05,17.14,4083500,HBC
2022-06-15,17.14,17.6,15.94,15.94,6597400,HBC
2022-06-16,16.5,16.59,15.76,15.9,2920000,HBC
2022-06-17,15.02,15.39,14.79,15.3,5552300,HBC
2022-06-20,15.48,15.85,14.24,14.24,5226100,HBC
2022-06-21,14.42,15.21,14.1,15.21,6570600,HBC
2022-06-22,15.85,16.13,15.76,15.85,3431900,HBC
2022-06-23,15.99,16.08,15.71,16.08,2597400,HBC
2022-06-24,16.04,16.77,15.76,15.99,6467400,HBC
2022-06-27,16.31,16.73,16.13,16.5,2577900,HBC
2022-06-28,16.5,17.0,16.5,16.68,2822900,HBC
2022-06-29,16.4,16.68,16.04,16.13,5039700,HBC
2022-06-30,16.13,16.45,15.3,15.34,3012700,HBC
2022-07-01,15.44,16.4,15.11,16.4,4932600,HBC
2022-07-04,16.63,16.96,16.54,16.63,2792700,HBC
2022-07-05,16.63,16.87,16.31,16.31,2826700,HBC
2022-07-06,16.04,16.54,15.85,16.31,4090000,HBC
2022-07-07,16.4,17.42,16.4,17.42,6311800,HBC
2022-07-08,17.69,18.25,17.51,17.79,3872300,HBC
2022-07-11,17.46,18.2,17.28,17.88,4310100,HBC
2022-07-12,17.83,18.34,17.6,18.25,5846400,HBC
2022-07-13,18.25,18.57,17.69,17.79,6433200,HBC
2022-07-14,17.65,18.16,17.6,17.97,3180700,HBC
2022-07-15,18.16,18.62,17.93,17.93,6014800,HBC
2022-07-18,18.02,18.75,17.83,18.06,7600000,HBC
2022-07-19,18.11,18.25,17.69,18.06,2723800,HBC
2022-07-20,18.43,19.31,18.34,19.31,12271800,HBC
2022-07-21,19.31,19.31,18.71,18.71,4793700,HBC
2022-07-22,18.71,19.03,18.25,18.25,3754000,HBC
2022-07-25,18.34,19.08,18.34,18.8,5215100,HBC
2022-07-26,18.75,19.58,18.75,18.8,5090400,HBC
2022-07-27,18.62,19.08,18.43,18.94,3554100,HBC
2022-07-28,19.26,19.68,18.94,18.94,7105000,HBC
2022-07-29,18.98,19.17,18.71,18.75,4904200,HBC
2022-08-01,18.75,19.81,18.75,19.72,9391100,HBC
2022-08-02,19.72,20.0,19.4,19.49,6471400,HBC
2022-08-03,19.35,19.77,19.22,19.63,4653800,HBC
2022-08-04,20.0,20.18,19.54,19.54,7038600,HBC
2022-08-05,19.54,19.81,19.31,19.68,4144700,HBC
2022-08-08,19.86,19.86,19.35,19.58,3910200,HBC
2022-08-09,19.68,20.18,19.54,19.86,6523300,HBC
2022-08-10,19.72,20.64,19.68,20.37,6680000,HBC
2022-08-11,20.74,20.74,19.4,19.77,9015100,HBC
2022-08-12,19.77,20.09,19.45,20.09,5442700,HBC
2022-08-15,20.23,20.37,19.86,19.91,4934700,HBC
2022-08-16,20.0,20.83,19.91,20.6,6956100,HBC
2022-08-17,20.6,20.74,20.04,20.28,6114000,HBC
2022-08-18,20.28,20.37,19.81,19.81,4242300,HBC
2022-08-19,20.0,20.18,19.54,19.77,4888900,HBC
2022-08-22,19.54,19.77,19.26,19.35,5098100,HBC
2022-08-23,19.08,20.0,19.03,19.95,4585100,HBC
2022-08-24,20.4,20.6,20.2,20.3,3178500,HBC
2022-08-25,20.35,20.65,20.3,20.35,2771500,HBC
2022-08-26,20.4,20.55,19.95,20.0,4974300,HBC
2022-08-29,19.45,19.9,19.05,19.5,5177700,HBC
2022-08-30,19.7,19.9,19.2,19.2,2229600,HBC
2022-08-31,19.2,19.65,19.1,19.5,2497700,HBC
2022-09-05,19.5,19.75,19.4,19.4,1454700,HBC
2022-09-06,19.35,20.2,19.3,19.85,4582200,HBC
2022-09-07,19.85,20.4,19.55,19.55,4927200,HBC
2022-09-08,19.7,19.7,18.8,19.0,4328900,HBC
2022-09-09,19.2,19.2,18.0,19.0,4454000,HBC
2022-09-12,19.1,19.5,19.0,19.1,1563789,HBC
2022-09-13,19.05,19.2,18.55,19.2,2331300,HBC
2022-09-14,18.9,19.7,18.5,19.25,3401900,HBC
2022-09-15,19.5,19.7,19.3,19.3,2256300,HBC
2022-09-16,19.1,19.3,18.8,18.8,2238000,HBC
2022-09-19,18.8,19.3,18.0,18.55,4299900,HBC
2022-09-20,18.6,18.85,18.15,18.65,1979900,HBC
2022-09-21,18.65,19.1,18.4,18.6,2110900,HBC
2022-09-22,18.4,18.85,18.3,18.8,2591000,HBC
2022-09-23,18.85,19.8,18.75,19.7,7293300,HBC
2022-09-26,19.45,19.85,18.85,19.3,5605100,HBC
2022-09-27,19.4,19.95,19.25,19.5,5083900,HBC
2022-09-28,19.3,19.5,18.15,18.15,8438474,HBC
2022-09-29,18.25,18.3,16.9,17.0,6871559,HBC
